Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_v3.x,
"BT1, BT2",JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,2,Battery_Cell LiPo,
"C1, C4",C_0603,2,1uF,C15849
"C11, C12, C2, C6",C_1206,4,10uF,C13585
"C13, C14, C15, C17, C19, C20, C21, C7, C8, C9",C_0603,10,100nF,C14663
C16,CASE-A_3216,1,CA45-A-6.3V-22UF-K,C129288
C18,C_0603,1,150pF,C1594
C22,CAP-TH_BD6.3-P2.50-D1.0-FD,1,KMG-10V470-6.3*11,C349987
C3,CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-FD,1,RVT1H470M0607 47UF 50V,C970679
C5,CAP-SMD_BD10.0-L10.3-W10.3-FD,1,MVK 50V220,C165588
"D1, D2, D3",SMC_L7.1-W6.2-LS8.1-RD,3,B540C-13-F,C72264
"D4, D5",0805,2,LED,
J1,SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm,1,TOUCH_E0,
J2,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,UIM2040PM_Power,
J3,PinHeader_1x08_P1.00mm_Vertical,1,PinHeader_1x08,
J4,PinHeader_1x04_P1.00mm_Vertical,1,UIM2040PM_Signal,
J5,PinSocket_1x06_P2.54mm_Vertical,1,BNO055 Adafruit,
J6,PinSocket_1x08_P1.00mm_Vertical,1,Conn_01x08_Socket,
J7,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Speaker,
J8,UJ20CHGMSMTR4CP16TR,1,UJ20-C-H-G-MSMT-R-4C-P16-TR,
L1,L_0603,1,"10uH,3mA",C1035
L2,IND-SMD_L8.5-W8.0_PCC-M0854M,1,CXP0850-150M-AG,C7461738
Q1,TSSOP-8_L4.4-W3.0-P0.65-LS6.4-BL,1,8205A,C181100
R1,R_0603,1,24kΩ,C23352
"R10, R11, R2, R9",R_0603,4,10kΩ,C25804
"R12, R13, R14, R3, R4, R6",R_0603,6,1kΩ,C21190
"R15, R19, R20, R7",R_0603,4,100kΩ,C25803
R16,R0603,1,0603WAF2103T5E,C22952
R17,RES-SMD_L3.2-W1.6_SY1206,1,HOJLR1206-1W-100MR-1%,C2903496
R18,R0603,1,RCA0340K2FLF,C22369806
"R21, R22",R_0603,2,330Ω,C23138
R23,R_0603,1,2kΩ,C22975
R5,R0603,1,RCT0318K2FLF,C178097
R8,R_0603,1,75kΩ,C23242
"SW1, SW2, SW3, SW4, SW5",SW-SMD_L3.9-W3.0-P4.45,5,TS-1088-AR02016,C720477
U1,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,1,CH224K,
U2,TO-263-5_L10.2-W8.6-P1.70-LS14.4-TL,1,XL6009,C15831
U3,UQFN-20_3x3mm_P0.4mm,1,MPR121QR2,
U4,MODULE_DFR0299,1,DFR0299,
U5,IND-SMD_L11.6-W10.1,1,CKST1004-33UH/M,C3002689
U7,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-EP3.3,1,MP1584EN,C454188
U8,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,HY2120-LB,C168778
U9,TQFN-16_L4.0-W4.0-P0.65-BL-EP,1,TP5100_C379389,C379389
