Designator,Mid X,Mid Y,Rotation,Layer
A1,117.02,-150.0,0.0,top
BT1,130.48,-76.78,270.0,top
BT2,130.43,-69.42,270.0,top
C1,131.4,-56.64,180.0,bottom
C11,105.90825,-77.5,0.0,bottom
C12,104.8,-89.5,270.0,top
C13,109.23825,-68.86,90.0,top
C14,112.62,-91.4,180.0,top
C15,106.66825,-75.24,0.0,bottom
C16,134.57,-85.1,270.0,top
C17,107.40825,-71.63,180.0,top
C18,117.27,-85.92,90.0,top
C19,128.79,-130.09,0.0,top
C2,118.95825,-73.89,270.0,top
C20,122.73,-74.28,270.0,top
C21,121.08,-74.29,270.0,top
C22,129.43,-110.94,0.0,top
C3,110.06,-123.43,0.0,top
C4,116.52,-142.25,180.0,bottom
C5,131.65,-137.77,270.0,top
C6,104.55,-68.11,90.0,bottom
C7,116.85825,-73.13,270.0,top
C8,130.61,-162.32,0.0,top
C9,130.88,-155.44,90.0,top
D1,119.15825,-69.18,180.0,bottom
D2,117.97,-135.16,270.0,bottom
D3,121.62,-87.65,90.0,top
D4,109.72825,-78.24,90.0,top
D5,115.09825,-78.3,270.0,bottom
J2,121.48,-120.64,180.0,top
J3,136.39,-105.49,0.0,bottom
J4,106.41,-158.34,180.0,top
J5,135.68,-151.3,180.0,top
J6,103.9,-165.37,0.0,bottom
J7,130.84,-97.91,270.0,top
J8,129.61,-61.6625,180.0,top
L1,112.00825,-69.59,180.0,top
L2,129.34,-87.51,270.0,top
Q1,124.38,-78.77,0.0,bottom
R1,124.15,-57.29,0.0,bottom
R10,132.97,-159.72,0.0,bottom
R11,127.2,-162.88,90.0,bottom
R12,112.36825,-77.59,0.0,top
R13,112.42825,-79.29,0.0,top
R14,124.66,-111.06,270.0,top
R15,106.6,-85.8,270.0,bottom
R16,117.39,-82.89,270.0,top
R17,106.01825,-73.38,180.0,bottom
R18,115.62,-82.9,90.0,top
R19,117.27,-89.12,90.0,top
R2,127.6,-65.36,0.0,bottom
R20,109.51,-92.455,180.0,bottom
R21,125.88,-76.14,0.0,top
R22,125.63,-71.17,0.0,top
R23,127.8,-70.49,90.0,bottom
R3,127.82,-56.63,180.0,bottom
R4,121.59,-142.46,0.0,bottom
R5,122.32,-132.47,270.0,bottom
R6,128.85,-131.68,180.0,top
R7,109.5,-90.82,180.0,bottom
R8,128.54,-155.8,180.0,top
R9,132.95,-158.07,0.0,bottom
SW1,105.92,-142.8,270.0,top
SW2,106.06,-152.15,90.0,top
SW3,129.29,-171.14,90.0,top
SW4,133.96,-171.14,90.0,top
SW5,104.8,-83.5,270.0,top
U1,129.5525,-60.21,270.0,bottom
U2,117.42,-150.01,270.0,bottom
U3,128.96,-159.47,180.0,top
U4,113.457,-103.77,180.0,top
U5,110.24,-123.46,90.0,bottom
U7,111.87,-87.28,0.0,top
U8,126.16,-73.53,180.0,top
U9,112.19,-73.4,90.0,top
